"site.id","lat","lon","day","month","year","survey.id","pass.id","survey.conducted","data.type","time.to.detect","age","species","count","individual.id"
5,31.41263,-92.3362266666667,8,11,2024,7,1,1,"count",NA,"NR","EUPA",0,NA
5,31.41263,-92.3362266666667,8,11,2024,7,1,1,"count",NA,"NR","DECA",0,NA
5,31.41263,-92.3362266666667,8,11,2024,7,1,1,"count",NA,"NR","PLKI",0,NA
5,31.41263,-92.3362266666667,8,11,2024,7,1,1,"count",NA,"NR","DCON",0,NA
5,31.41263,-92.3362266666667,8,11,2024,7,1,1,"count",NA,"NR","PLSE",0,NA
5,31.41263,-92.3362266666667,8,11,2024,7,1,1,"count",NA,"NR","PLAL",0,NA
5,31.41263,-92.3362266666667,8,11,2024,7,1,1,"count",NA,"NR","DEBR",0,NA
5,31.41263,-92.3362266666667,8,11,2024,7,1,1,"count",NA,"NR","PLMI",0,NA
5,31.41263,-92.3362266666667,8,11,2024,7,1,1,"count",NA,"NR","PLWE",0,NA
5,31.41263,-92.3362266666667,20,4,2022,9,1,1,"count",NA,"NR","AMAC",0,NA
5,31.41263,-92.3362266666667,20,4,2022,9,1,1,"count",NA,"NR","AMOP",1,NA
5,31.41263,-92.3362266666667,20,4,2022,9,1,1,"count",NA,"NR","EUPA",2,NA
5,31.41263,-92.3362266666667,20,4,2022,9,1,1,"count",NA,"NR","DECA",0,NA
5,31.41263,-92.3362266666667,20,4,2022,9,1,1,"count",NA,"NR","PLKI",3,NA
5,31.41263,-92.3362266666667,20,4,2022,9,1,1,"count",NA,"NR","DCON",0,NA
5,31.41263,-92.3362266666667,20,4,2022,9,1,1,"count",NA,"NR","PLSE",0,NA
5,31.41263,-92.3362266666667,20,4,2022,9,1,1,"count",NA,"NR","PLAL",0,NA
5,31.41263,-92.3362266666667,20,4,2022,9,1,1,"count",NA,"NR","DEBR",0,NA
5,31.41263,-92.3362266666667,20,4,2022,9,1,1,"count",NA,"NR","PLMI",0,NA
5,31.41263,-92.3362266666667,20,4,2022,9,1,1,"count",NA,"NR","PLWE",0,NA
5,31.41263,-92.3362266666667,22,12,2023,8,1,1,"count",NA,"NR","AMAC",0,NA
5,31.41263,-92.3362266666667,22,12,2023,8,1,1,"count",NA,"NR","AMOP",0,NA
5,31.41263,-92.3362266666667,22,12,2023,8,1,1,"count",NA,"NR","EUPA",0,NA
5,31.41263,-92.3362266666667,22,12,2023,8,1,1,"count",NA,"NR","DECA",0,NA
5,31.41263,-92.3362266666667,22,12,2023,8,1,1,"count",NA,"NR","PLKI",1,NA
5,31.41263,-92.3362266666667,22,12,2023,8,1,1,"count",NA,"NR","DCON",0,NA
5,31.41263,-92.3362266666667,22,12,2023,8,1,1,"count",NA,"NR","PLSE",0,NA
5,31.41263,-92.3362266666667,22,12,2023,8,1,1,"count",NA,"NR","PLAL",0,NA
5,31.41263,-92.3362266666667,22,12,2023,8,1,1,"count",NA,"NR","DEBR",0,NA
5,31.41263,-92.3362266666667,22,12,2023,8,1,1,"count",NA,"NR","PLMI",0,NA
5,31.41263,-92.3362266666667,22,12,2023,8,1,1,"count",NA,"NR","PLWE",0,NA
6,32.25015,-92.96775,21,12,2023,10,1,1,"count",NA,"NR","AMAC",0,NA
6,32.25015,-92.96775,21,12,2023,10,1,1,"count",NA,"NR","AMOP",0,NA
6,32.25015,-92.96775,21,12,2023,10,1,1,"count",NA,"NR","EUPA",0,NA
6,32.25015,-92.96775,21,12,2023,10,1,1,"count",NA,"NR","DECA",0,NA
6,32.25015,-92.96775,21,12,2023,10,1,1,"count",NA,"NR","PLKI",0,NA
6,32.25015,-92.96775,21,12,2023,10,1,1,"count",NA,"NR","DCON",0,NA
6,32.25015,-92.96775,21,12,2023,10,1,1,"count",NA,"NR","PLSE",0,NA
6,32.25015,-92.96775,21,12,2023,10,1,1,"count",NA,"NR","PLAL",0,NA
6,32.25015,-92.96775,21,12,2023,10,1,1,"count",NA,"NR","DEBR",0,NA
6,32.25015,-92.96775,21,12,2023,10,1,1,"count",NA,"NR","PLMI",0,NA
6,32.25015,-92.96775,21,12,2023,10,1,1,"count",NA,"NR","PLWE",0,NA
7,33.39782,-92.41435,8,2,2023,11,1,1,"count",NA,"NR","AMAC",0,NA
7,33.39782,-92.41435,8,2,2023,11,1,1,"count",NA,"NR","AMOP",0,NA
7,33.39782,-92.41435,8,2,2023,11,1,1,"count",NA,"NR","EUPA",0,NA
7,33.39782,-92.41435,8,2,2023,11,1,1,"count",NA,"NR","DECA",0,NA
7,33.39782,-92.41435,8,2,2023,11,1,1,"count",NA,"NR","PLKI",0,NA
7,33.39782,-92.41435,8,2,2023,11,1,1,"count",NA,"NR","DCON",0,NA
7,33.39782,-92.41435,8,2,2023,11,1,1,"count",NA,"NR","PLSE",0,NA
7,33.39782,-92.41435,8,2,2023,11,1,1,"count",NA,"NR","PLAL",0,NA
7,33.39782,-92.41435,8,2,2023,11,1,1,"count",NA,"NR","DEBR",0,NA
7,33.39782,-92.41435,8,2,2023,11,1,1,"count",NA,"NR","PLMI",0,NA
7,33.39782,-92.41435,8,2,2023,11,1,1,"count",NA,"NR","PLWE",0,NA
8,32.13013,-92.98485,12,12,2023,12,1,1,"count",NA,"NR","AMAC",0,NA
8,32.13013,-92.98485,12,12,2023,12,1,1,"count",NA,"NR","AMOP",0,NA
8,32.13013,-92.98485,12,12,2023,12,1,1,"count",NA,"NR","EUPA",0,NA
8,32.13013,-92.98485,12,12,2023,12,1,1,"count",NA,"NR","DECA",0,NA
8,32.13013,-92.98485,12,12,2023,12,1,1,"count",NA,"NR","PLKI",0,NA
8,32.13013,-92.98485,12,12,2023,12,1,1,"count",NA,"NR","DCON",0,NA
8,32.13013,-92.98485,12,12,2023,12,1,1,"count",NA,"NR","PLSE",0,NA
8,32.13013,-92.98485,12,12,2023,12,1,1,"count",NA,"NR","PLAL",0,NA
8,32.13013,-92.98485,12,12,2023,12,1,1,"count",NA,"NR","DEBR",0,NA
8,32.13013,-92.98485,12,12,2023,12,1,1,"count",NA,"NR","PLMI",0,NA
8,32.13013,-92.98485,12,12,2023,12,1,1,"count",NA,"NR","PLWE",0,NA
9,31.80875,-92.01298,5,12,2024,14,1,1,"count",NA,"NR","AMAC",2,NA
9,31.80875,-92.01298,5,12,2024,14,1,1,"count",NA,"NR","AMOP",0,NA
9,31.80875,-92.01298,5,12,2024,14,1,1,"count",NA,"NR","EUPA",0,NA
9,31.80875,-92.01298,5,12,2024,14,1,1,"count",NA,"NR","DECA",0,NA
9,31.80875,-92.01298,5,12,2024,14,1,1,"count",NA,"NR","PLKI",0,NA
9,31.80875,-92.01298,5,12,2024,14,1,1,"count",NA,"NR","DCON",0,NA
9,31.80875,-92.01298,5,12,2024,14,1,1,"count",NA,"NR","PLSE",0,NA
9,31.80875,-92.01298,5,12,2024,14,1,1,"count",NA,"NR","PLAL",0,NA
9,31.80875,-92.01298,5,12,2024,14,1,1,"count",NA,"NR","DEBR",0,NA
9,31.80875,-92.01298,5,12,2024,14,1,1,"count",NA,"NR","PLMI",0,NA
9,31.80875,-92.01298,5,12,2024,14,1,1,"count",NA,"NR","PLWE",0,NA
9,31.80875,-92.01298,21,12,2022,13,1,1,"count",NA,"NR","AMAC",0,NA
