"site.id","lat","lon","stateProvince","coord.unc","eventDate","day","month","year","survey.conducted","survey.id","pass.id","survey.pass","data.type","species","age","individual.id","time.to.detect","count"
"iNat804",34.926578,-83.842322,"Georgia",25,"2021-04-10T20:51:12",10,4,2021,1,832,1,"832_1","PO","PLSE","NR",NA,NA,1
"iNat807",34.92673,-83.841958,"Georgia",26,"2021-04-10T20:54:15",10,4,2021,1,833,1,"833_1","PO","PLSE","NR",NA,NA,1
"iNat808",34.926808,-83.842178,"Georgia",45,"2021-04-10T20:53:09",10,4,2021,1,834,1,"834_1","PO","PLSE","NR",NA,NA,1
"iNat882",34.940383,-83.85547,"Georgia",2974,"2021-04-10T20:47:49",10,4,2021,1,835,1,"835_1","PO","PLSE","NR",NA,NA,1
"iNat816",34.928497,-83.841583,"Georgia",44,"2021-04-10T21:28:34",10,4,2021,1,836,1,"836_1","PO","PLSE","NR",NA,NA,1
"iNat809",34.926808,-83.84192,"Georgia",39,"2021-04-10T20:59:06",10,4,2021,1,837,1,"837_1","PO","PLSE","NR",NA,NA,1
"iNat801",34.925954,-83.842012,"Georgia",32,"2021-04-10T20:39:09",10,4,2021,1,838,1,"838_1","PO","PLSE","NR",NA,NA,1
"iNat806",34.926655,-83.841928,"Georgia",4,"2021-04-10T20:51:39",10,4,2021,1,839,1,"839_1","PO","PLSE","NR",NA,NA,1
"iNat877",34.936425,-83.853333,"Georgia",4158,"2021-04-10T20:56:29",10,4,2021,1,840,1,"840_1","PO","PLSE","NR",NA,NA,1
"iNat665",34.67769,-93.935893,"Arkansas",1646,"2021-04-09T12:37",9,4,2021,1,841,1,"841_1","PO","PLSE","NR",NA,NA,1
"iNat803",34.926503,-83.84292,"Georgia",29,"2021-04-10T20:33:21",10,4,2021,1,842,1,"842_1","PO","PLSE","NR",NA,NA,1
"iNat817",34.928547,-83.841492,"Georgia",65,"2021-04-10T21:32:26",10,4,2021,1,843,1,"843_1","PO","PLSE","NR",NA,NA,1
"iNat815",34.92827,-83.841658,"Georgia",696,"2021-04-10T21:26:42",10,4,2021,1,844,1,"844_1","PO","PLSE","NR",NA,NA,1
"iNat879",34.938142,-83.855155,"Georgia",3400,"2021-04-10T21:18:36",10,4,2021,1,845,1,"845_1","PO","PLSE","NR",NA,NA,1
"iNat814",34.927937,-83.841933,"Georgia",24,"2021-04-10T21:18:49",10,4,2021,1,846,1,"846_1","PO","PLSE","NR",NA,NA,1
"iNat802",34.92643,-83.841705,"Georgia",111,"2021-04-10T20:46:50",10,4,2021,1,847,1,"847_1","PO","PLSE","NR",NA,NA,1
"iNat800",34.9259,-83.84223,"Georgia",10,"2021-04-10T20:38:50",10,4,2021,1,848,1,"848_1","PO","PLSE","NR",NA,NA,1
"iNat1104",35.59426,-83.841848,"Tennessee",1764,"2021-03-29T09:34",29,3,2021,1,849,1,"849_1","PO","PLSE","NR",NA,NA,1
"iNat148",33.837894,-84.546021,"Georgia",NA,"2021-04-04T18:58:38",4,4,2021,1,850,1,"850_1","PO","PLSE","NR",NA,NA,1
"iNat740",34.714198,-94.676184,"Oklahoma",61,"2015-03-18T18:46",18,3,2015,1,851,1,"851_1","PO","PLSE","NR",NA,NA,1
"iNat115",33.806878,-84.284988,"Georgia",5,"2021-02-14T09:41:46",14,2,2021,1,852,1,"852_1","PO","PLSE","NR",NA,NA,1
"iNat149",33.83811,-84.54586,"Georgia",10,"2021-03-27T19:32:40",27,3,2021,1,853,1,"853_1","PO","PLSE","NR",NA,NA,1
"iNat1198",35.751317,-83.84745,"Tennessee",31,"2021-03-21T11:35:53",21,3,2021,1,854,1,"854_1","PO","PLSE","NR",NA,NA,1
"iNat307",34.028339,-84.277542,"Georgia",10,"2021-03-29T15:33:42",29,3,2021,1,855,1,"855_1","PO","PLSE","NR",NA,NA,1
"iNat1213",35.757381,-83.210059,"Tennessee",31,"2019-04-26T14:40",26,4,2019,1,856,1,"856_1","PO","PLSE","NR",NA,NA,1
"iNat1127",35.610945,-83.752026,"Tennessee",228,"2021-03-04T14:13:38",4,3,2021,1,857,1,"857_1","PO","PLSE","NR",NA,NA,1
"iNat1308",38.192953,-90.768197,"Missouri",28300,"2021-03-21T13:54",21,3,2021,1,858,1,"858_1","PO","PLSE","NR",NA,NA,1
"iNat889",34.957905,-83.836472,"Georgia",31,"2021-03-26T21:27:12",26,3,2021,1,859,1,"859_1","PO","PLSE","NR",NA,NA,1
"iNat840",34.930462,-83.843553,"Georgia",4,"2021-03-24T11:37:17",24,3,2021,1,860,1,"860_1","PO","PLSE","NR",NA,NA,1
"iNat204",33.891187,-84.406495,"Georgia",12,"2020-12-30T15:55:27",30,12,2020,1,861,1,"861_1","PO","PLSE","NR",NA,NA,1
"iNat890",34.957925,-83.836538,"Georgia",4,"2021-03-26T21:24:03",26,3,2021,1,862,1,"862_1","PO","PLSE","NR",NA,NA,1
"iNat1358",38.625637,-90.707237,"Missouri",5,"2021-03-24T15:59:48Z",24,3,2021,1,863,1,"863_1","PO","PLSE","NR",NA,NA,1
"iNat398",34.1298,-94.685853,"Oklahoma",24,"2020-12-26T12:32:14",26,12,2020,1,864,1,"864_1","PO","PLSE","NR",NA,NA,1
"iNat1285",37.663098,-92.155922,"Missouri",NA,"2021-03-14T11:54:21Z",14,3,2021,1,865,1,"865_1","PO","PLSE","NR",NA,NA,1
