"","site.id","lat","lon","stateProvince","source","coord.unc","eventDate","day","month","year","survey.conducted","survey.id","pass.id","survey.pass","data.type","species","age","individual.id","time.to.detect","count"
"49","iNat52",36.503381,-81.972264,"Tennessee","iNat",28534,"2025-04-26T17:33",26,4,2025,1,49,1,"49_1","PO","DMAR","NR",NA,NA,1
"50","iNat28",36.119438,-81.783523,"North Carolina","iNat",297,"2021-07-30T18:53:15",30,7,2021,1,50,1,"50_1","PO","DMAR","NR",NA,NA,1
"51","iNat34",36.159513,-81.751352,"North Carolina","iNat",28592,"2019-09-02T18:30",2,9,2019,1,51,1,"51_1","PO","DMAR","NR",NA,NA,1
"52","iNat77",37.731236,-81.069675,"West Virginia","iNat",28359,"2025-04-20T09:12:39",20,4,2025,1,52,1,"52_1","PO","DMAR","NR",NA,NA,1
"53","iNat59",36.650386,-81.704431,"Virginia","iNat",NA,"2009-05-23T15:10",23,5,2009,1,53,1,"53_1","PO","DMAR","NR",NA,NA,1
"54","iNat45",36.186095,-81.787186,"North Carolina","iNat",92,"2020-06-17T15:36:22",17,6,2020,1,54,1,"54_1","PO","DMAR","NR",NA,NA,1
"55","iNat65",36.652625,-81.700212,"Virginia","iNat",8,"2020-06-26T11:44:18",26,6,2020,1,55,1,"55_1","PO","DMAR","NR",NA,NA,1
"56","iNat78",38.014523,-81.139533,"West Virginia","iNat",28300,"2024-10-11T17:03:24",11,10,2024,1,56,1,"56_1","PO","DMAR","NR",NA,NA,1
"57","iNat69",36.665661,-81.563055,"Virginia","iNat",28505,"2025-05-20T15:00:57",20,5,2025,1,57,1,"57_1","PO","DMAR","NR",NA,NA,1
"58","iNat37",36.167145,-81.810295,"North Carolina","iNat",653,"2024-04-01T18:28:49",1,4,2024,1,58,1,"58_1","PO","DMAR","NR",NA,NA,1
"59","iNat21",36.103172,-82.05323,"North Carolina","iNat",50,"2019-04-28T11:03:59",28,4,2019,1,59,1,"59_1","PO","DMAR","NR",NA,NA,1
"60","iNat55",36.605857,-81.491144,"Virginia","iNat",28505,"2025-05-20T15:01:11",20,5,2025,1,60,1,"60_1","PO","DMAR","NR",NA,NA,1
"61","iNat75",36.726425,-81.628877,"Virginia","iNat",28505,"2024-06-14T07:28",14,6,2024,1,61,1,"61_1","PO","DMAR","NR",NA,NA,1
"62","iNat19",36.081075,-81.787095,"North Carolina","iNat",4,"2022-05-31T15:53:15",31,5,2022,1,62,1,"62_1","PO","DMAR","NR",NA,NA,1
"63","iNat63",36.6526,-81.700142,"Virginia","iNat",8,"2020-06-26T11:30:19",26,6,2020,1,63,1,"63_1","PO","DMAR","NR",NA,NA,1
"64","iNat26",36.114501,-81.777875,"North Carolina","iNat",8,"2021-04-25T13:18",25,4,2021,1,64,1,"64_1","PO","DMAR","NR",NA,NA,1
"65","iNat42",36.185338,-81.787027,"North Carolina","iNat",169,"2020-06-17T15:27:50",17,6,2020,1,65,1,"65_1","PO","DMAR","NR",NA,NA,1
"66","iNat14",36.050811,-81.849945,"North Carolina","iNat",6224,"2020-09-05T11:22:36",5,9,2020,1,66,1,"66_1","PO","DMAR","NR",NA,NA,1
"67","iNat1",35.663658,-82.190475,"North Carolina","iNat",4,"2023-06-10T20:22:48",10,6,2023,1,67,1,"67_1","PO","DMAR","NR",NA,NA,1
"68","iNat25",36.107456,-81.78124,"North Carolina","iNat",38,"2020-05-17",17,5,2020,1,68,1,"68_1","PO","DMAR","NR",NA,NA,1
"69","iNat6",35.848408,-81.894082,"North Carolina","iNat",28620,"2019-03-27T11:54",27,3,2019,1,69,1,"69_1","PO","DMAR","NR",NA,NA,1
"70","iNat13",36.04966,-81.732438,"North Carolina","iNat",28592,"2023-07-16T11:26",16,7,2023,1,70,1,"70_1","PO","DMAR","NR",NA,NA,1
"71","iNat38",36.170963,-81.799745,"North Carolina","iNat",10,"2025-06-21T15:16:42",21,6,2025,1,71,1,"71_1","PO","DMAR","NR",NA,NA,1
"72","iNat70",36.675049,-81.400921,"Virginia","iNat",28505,"2025-05-20T14:58:50",20,5,2025,1,72,1,"72_1","PO","DMAR","NR",NA,NA,1
"73","iNat16",36.062588,-82.020344,"Tennessee","iNat",28592,"2025-08-06T10:55:26",6,8,2025,1,73,1,"73_1","PO","DMAR","NR",NA,NA,1
"74","iNat10",36.032095,-81.803418,"North Carolina","iNat",18,"2021-05-08T17:47",8,5,2021,1,74,1,"74_1","PO","DMAR","NR",NA,NA,1
"75","iNat24",36.10714,-81.779879,"North Carolina","iNat",488,"2020-05-17",17,5,2020,1,75,1,"75_1","PO","DMAR","NR",NA,NA,1
"76","iNat79",38.059881,-81.080025,"West Virginia","iNat",23,"2025-09-20T15:17:21",20,9,2025,1,76,1,"76_1","PO","DMAR","NR",NA,NA,1
"77","iNat11",36.032205,-81.803452,"North Carolina","iNat",NA,"2023-07-11T13:51",11,7,2023,1,77,1,"77_1","PO","DMAR","NR",NA,NA,1
"78","iNat71",36.675339,-81.584653,"Virginia","iNat",28505,"2025-05-20T14:34",20,5,2025,1,78,1,"78_1","PO","DMAR","NR",NA,NA,1
"79","iNat40",36.174307,-81.796354,"North Carolina","iNat",28592,"2023-06-17T09:34",17,6,2023,1,79,1,"79_1","PO","DMAR","NR",NA,NA,1
"80","iNat53",36.506728,-81.404873,"North Carolina","iNat",28534,"2023-10-01T10:57",1,10,2023,1,80,1,"80_1","PO","DMAR","NR",NA,NA,1
