"site.id","lat","lon","stateProvince","coord.unc","eventDate","day","month","year","survey.conducted","survey.id","pass.id","survey.pass","data.type","species","age","individual.id","time.to.detect","count"
"Museum47",36.76,-80.73,"Virginia",4575,"1970-12-10",10,12,1970,1,45,1,"45_1","PO","GPORPO","NR",NA,NA,1
"Museum57",37.2,-80.79,"Virginia",4748,"1968-05",NA,5,NA,1,46,1,"46_1","PO","GPORPO","NR",NA,NA,1
"Museum90",38.16,-79.31,"Virginia",257,"1971-09-25",25,9,1971,1,47,1,"47_1","PO","GPORPO","NR",NA,NA,1
"Museum49",36.8,-80.4,"Virginia",5922,"1983-05-27",27,5,1983,1,48,1,"48_1","PO","GPORPO","NR",NA,NA,1
"Museum45",36.67,-81.55,"Virginia",1910,"1985-05-26",26,5,1985,1,49,1,"49_1","PO","GPORPO","NR",NA,NA,1
"Museum55",36.97,-80,"Virginia",4529,"1985-05-27",27,5,1985,1,50,1,"50_1","PO","GPORPO","NR",NA,NA,1
"Museum119",38.45,-79.16,"Virginia",3518,"1985-03-31",31,3,1985,1,51,1,"51_1","PO","GPORPO","NR",NA,NA,1
"Museum116",38.43,-79.17,"Virginia",7141,"1985-03-31",31,3,1985,1,52,1,"52_1","PO","GPORPO","NR",NA,NA,1
"Museum245",40.16,-79.25,"Pennsylvania",100,"1983-06-18",18,6,1983,1,53,1,"53_1","PO","GPORPO","NR",NA,NA,1
"Museum241",40.15,-79.25,"Pennsylvania",100,"1983-06-09",9,6,1983,1,54,1,"54_1","PO","GPORPO","NR",NA,NA,1
"Museum244",40.16,-79.26,"Pennsylvania",100,"1983-05-30",30,5,1983,1,55,1,"55_1","PO","GPORPO","NR",NA,NA,1
"Museum240",40.15,-79.27,"Pennsylvania",215,"1982-06-22",22,6,1982,1,56,1,"56_1","PO","GPORPO","NR",NA,NA,1
"Museum237",40.14,-79.28,"Pennsylvania",200,"1982-05-19",19,5,1982,1,57,1,"57_1","PO","GPORPO","NR",NA,NA,1
