"site.id","lat","lon","day","month","year","survey.conducted","survey.id","data.type","pass.id","individual.id","time.to.detect","date","survey.pass","species","age","count"
51,42.376788,-71.833813,11,9,2019,1,51,"count",1,NA,NA,"9/11/2019","51_1","EBIS","NR",0
51,42.376788,-71.833813,11,9,2019,1,51,"count",1,NA,NA,"9/11/2019","51_1","GPOR","NR",0
38,42.306245,-71.877164,29,10,2019,1,38,"count",1,NA,NA,"10/29/2019","38_1","DFUS","NR",0
38,42.306245,-71.877164,29,10,2019,1,38,"count",1,NA,NA,"10/29/2019","38_1","EBIS","NR",1
38,42.306245,-71.877164,29,10,2019,1,38,"count",1,NA,NA,"10/29/2019","38_1","GPOR","NR",0
42,42.313582,-71.888697,18,9,2019,1,42,"count",1,NA,NA,"9/18/2019","42_1","DFUS","NR",0
42,42.313582,-71.888697,18,9,2019,1,42,"count",1,NA,NA,"9/18/2019","42_1","EBIS","NR",0
42,42.313582,-71.888697,18,9,2019,1,42,"count",1,NA,NA,"9/18/2019","42_1","GPOR","NR",0
39,42.306353,-71.877023,10,11,2019,1,39,"count",1,NA,NA,"11/10/2019","39_1","DFUS","NR",0
39,42.306353,-71.877023,10,11,2019,1,39,"count",1,NA,NA,"11/10/2019","39_1","EBIS","NR",1
39,42.306353,-71.877023,10,11,2019,1,39,"count",1,NA,NA,"11/10/2019","39_1","GPOR","NR",0
82,42.484472,-72.756833,29,6,2019,1,82,"count",1,NA,NA,"6/29/2019","82_1","DFUS","NR",1
82,42.484472,-72.756833,29,6,2019,1,82,"count",1,NA,NA,"6/29/2019","82_1","EBIS","NR",7
82,42.484472,-72.756833,29,6,2019,1,82,"count",1,NA,NA,"6/29/2019","82_1","GPOR","NR",0
81,42.482384,-72.760344,1,9,2019,1,81,"count",1,NA,NA,"9/1/2019","81_1","DFUS","NR",5
81,42.482384,-72.760344,1,9,2019,1,81,"count",1,NA,NA,"9/1/2019","81_1","EBIS","NR",16
81,42.482384,-72.760344,1,9,2019,1,81,"count",1,NA,NA,"9/1/2019","81_1","GPOR","NR",1
79,42.481407,-72.762659,27,9,2019,1,79,"count",1,NA,NA,"9/27/2019","79_1","DFUS","NR",4
79,42.481407,-72.762659,27,9,2019,1,79,"count",1,NA,NA,"9/27/2019","79_1","EBIS","NR",28
79,42.481407,-72.762659,27,9,2019,1,79,"count",1,NA,NA,"9/27/2019","79_1","GPOR","NR",0
84,42.48462,-72.756783,28,7,2019,1,84,"count",1,NA,NA,"7/28/2019","84_1","DFUS","NR",19
84,42.48462,-72.756783,28,7,2019,1,84,"count",1,NA,NA,"7/28/2019","84_1","EBIS","NR",14
84,42.48462,-72.756783,28,7,2019,1,84,"count",1,NA,NA,"7/28/2019","84_1","GPOR","NR",0
93,42.501739,-72.789238,2,8,2019,1,93,"count",1,NA,NA,"8/2/2019","93_1","DFUS","NR",12
93,42.501739,-72.789238,2,8,2019,1,93,"count",1,NA,NA,"8/2/2019","93_1","EBIS","NR",23
93,42.501739,-72.789238,2,8,2019,1,93,"count",1,NA,NA,"8/2/2019","93_1","GPOR","NR",3
88,42.487706,-72.705833,18,8,2019,1,88,"count",1,NA,NA,"8/18/2019","88_1","DFUS","NR",1
88,42.487706,-72.705833,18,8,2019,1,88,"count",1,NA,NA,"8/18/2019","88_1","EBIS","NR",1
88,42.487706,-72.705833,18,8,2019,1,88,"count",1,NA,NA,"8/18/2019","88_1","GPOR","NR",1
73,42.457172,-72.94278,27,7,2019,1,73,"count",1,NA,NA,"7/27/2019","73_1","DFUS","NR",8
73,42.457172,-72.94278,27,7,2019,1,73,"count",1,NA,NA,"7/27/2019","73_1","EBIS","NR",9
73,42.457172,-72.94278,27,7,2019,1,73,"count",1,NA,NA,"7/27/2019","73_1","GPOR","NR",1
74,42.457314,-72.942307,27,7,2019,1,74,"count",1,NA,NA,"7/27/2019","74_1","DFUS","NR",14
74,42.457314,-72.942307,27,7,2019,1,74,"count",1,NA,NA,"7/27/2019","74_1","EBIS","NR",3
74,42.457314,-72.942307,27,7,2019,1,74,"count",1,NA,NA,"7/27/2019","74_1","GPOR","NR",1
75,42.459176,-72.94906,13,9,2019,1,75,"count",1,NA,NA,"9/13/2019","75_1","DFUS","NR",5
75,42.459176,-72.94906,13,9,2019,1,75,"count",1,NA,NA,"9/13/2019","75_1","EBIS","NR",15
75,42.459176,-72.94906,13,9,2019,1,75,"count",1,NA,NA,"9/13/2019","75_1","GPOR","NR",0
69,42.435028,-72.671556,28,6,2019,1,69,"count",1,NA,NA,"6/28/2019","69_1","DFUS","NR",5
69,42.435028,-72.671556,28,6,2019,1,69,"count",1,NA,NA,"6/28/2019","69_1","EBIS","NR",13
69,42.435028,-72.671556,28,6,2019,1,69,"count",1,NA,NA,"6/28/2019","69_1","GPOR","NR",2
72,42.447852,-72.65452,8,9,2019,1,72,"count",1,NA,NA,"9/8/2019","72_1","DFUS","NR",11
72,42.447852,-72.65452,8,9,2019,1,72,"count",1,NA,NA,"9/8/2019","72_1","EBIS","NR",16
72,42.447852,-72.65452,8,9,2019,1,72,"count",1,NA,NA,"9/8/2019","72_1","GPOR","NR",0
145,42.63844,-72.73728,20,6,2019,1,145,"count",1,NA,NA,"6/20/2019","145_1","DFUS","NR",77
145,42.63844,-72.73728,20,6,2019,1,145,"count",1,NA,NA,"6/20/2019","145_1","EBIS","NR",12
145,42.63844,-72.73728,20,6,2019,1,145,"count",1,NA,NA,"6/20/2019","145_1","GPOR","NR",0
146,42.64002,-72.74716,20,6,2019,1,146,"count",1,NA,NA,"6/20/2019","146_1","DFUS","NR",5
146,42.64002,-72.74716,20,6,2019,1,146,"count",1,NA,NA,"6/20/2019","146_1","EBIS","NR",2
146,42.64002,-72.74716,20,6,2019,1,146,"count",1,NA,NA,"6/20/2019","146_1","GPOR","NR",1
173,42.71751,-72.23132,25,6,2019,1,173,"count",1,NA,NA,"6/25/2019","173_1","DFUS","NR",1
173,42.71751,-72.23132,25,6,2019,1,173,"count",1,NA,NA,"6/25/2019","173_1","EBIS","NR",3
173,42.71751,-72.23132,25,6,2019,1,173,"count",1,NA,NA,"6/25/2019","173_1","GPOR","NR",4
94,42.5201,-72.14896,25,6,2019,1,94,"count",1,NA,NA,"6/25/2019","94_1","DFUS","NR",1
94,42.5201,-72.14896,25,6,2019,1,94,"count",1,NA,NA,"6/25/2019","94_1","EBIS","NR",0
94,42.5201,-72.14896,25,6,2019,1,94,"count",1,NA,NA,"6/25/2019","94_1","GPOR","NR",3
161,42.68207,-72.42773,2,7,2019,1,161,"count",1,NA,NA,"7/2/2019","161_1","DFUS","NR",1
161,42.68207,-72.42773,2,7,2019,1,161,"count",1,NA,NA,"7/2/2019","161_1","EBIS","NR",0
161,42.68207,-72.42773,2,7,2019,1,161,"count",1,NA,NA,"7/2/2019","161_1","GPOR","NR",4
160,42.68127,-72.43172,2,7,2019,1,160,"count",1,NA,NA,"7/2/2019","160_1","DFUS","NR",2
160,42.68127,-72.43172,2,7,2019,1,160,"count",1,NA,NA,"7/2/2019","160_1","EBIS","NR",0
160,42.68127,-72.43172,2,7,2019,1,160,"count",1,NA,NA,"7/2/2019","160_1","GPOR","NR",7
21,42.18009,-72.28094,3,7,2019,1,21,"count",1,NA,NA,"7/3/2019","21_1","DFUS","NR",4
21,42.18009,-72.28094,3,7,2019,1,21,"count",1,NA,NA,"7/3/2019","21_1","EBIS","NR",3
21,42.18009,-72.28094,3,7,2019,1,21,"count",1,NA,NA,"7/3/2019","21_1","GPOR","NR",0
22,42.18226,-72.28754,3,7,2019,1,22,"count",1,NA,NA,"7/3/2019","22_1","DFUS","NR",5
22,42.18226,-72.28754,3,7,2019,1,22,"count",1,NA,NA,"7/3/2019","22_1","EBIS","NR",20
22,42.18226,-72.28754,3,7,2019,1,22,"count",1,NA,NA,"7/3/2019","22_1","GPOR","NR",0
37,42.26988,-72.61703,8,7,2019,1,37,"count",1,NA,NA,"7/8/2019","37_1","DFUS","NR",9
37,42.26988,-72.61703,8,7,2019,1,37,"count",1,NA,NA,"7/8/2019","37_1","EBIS","NR",34
37,42.26988,-72.61703,8,7,2019,1,37,"count",1,NA,NA,"7/8/2019","37_1","GPOR","NR",0
136,42.61686,-72.82774,11,7,2019,1,136,"count",1,NA,NA,"7/11/2019","136_1","DFUS","NR",8
136,42.61686,-72.82774,11,7,2019,1,136,"count",1,NA,NA,"7/11/2019","136_1","EBIS","NR",31
136,42.61686,-72.82774,11,7,2019,1,136,"count",1,NA,NA,"7/11/2019","136_1","GPOR","NR",0
132,42.61209,-72.8186,11,7,2019,1,132,"count",1,NA,NA,"7/11/2019","132_1","DFUS","NR",6
132,42.61209,-72.8186,11,7,2019,1,132,"count",1,NA,NA,"7/11/2019","132_1","EBIS","NR",18
132,42.61209,-72.8186,11,7,2019,1,132,"count",1,NA,NA,"7/11/2019","132_1","GPOR","NR",2
12,42.10093,-71.78877,13,7,2019,1,12,"count",1,NA,NA,"7/13/2019","12_1","DFUS","NR",15
12,42.10093,-71.78877,13,7,2019,1,12,"count",1,NA,NA,"7/13/2019","12_1","EBIS","NR",68
12,42.10093,-71.78877,13,7,2019,1,12,"count",1,NA,NA,"7/13/2019","12_1","GPOR","NR",0
13,42.10247,-71.79158,13,7,2019,1,13,"count",1,NA,NA,"7/13/2019","13_1","DFUS","NR",2
13,42.10247,-71.79158,13,7,2019,1,13,"count",1,NA,NA,"7/13/2019","13_1","EBIS","NR",1
13,42.10247,-71.79158,13,7,2019,1,13,"count",1,NA,NA,"7/13/2019","13_1","GPOR","NR",1
36,42.26579,-72.63309,18,7,2019,1,36,"count",1,NA,NA,"7/18/2019","36_1","DFUS","NR",3
36,42.26579,-72.63309,18,7,2019,1,36,"count",1,NA,NA,"7/18/2019","36_1","EBIS","NR",7
36,42.26579,-72.63309,18,7,2019,1,36,"count",1,NA,NA,"7/18/2019","36_1","GPOR","NR",0
34,42.25918,-72.62345,18,7,2019,1,34,"count",1,NA,NA,"7/18/2019","34_1","DFUS","NR",1
34,42.25918,-72.62345,18,7,2019,1,34,"count",1,NA,NA,"7/18/2019","34_1","EBIS","NR",17
34,42.25918,-72.62345,18,7,2019,1,34,"count",1,NA,NA,"7/18/2019","34_1","GPOR","NR",2
52,42.38651,-72.43661,31,7,2019,1,52,"count",1,NA,NA,"7/31/2019","52_1","DFUS","NR",13
52,42.38651,-72.43661,31,7,2019,1,52,"count",1,NA,NA,"7/31/2019","52_1","EBIS","NR",22
52,42.38651,-72.43661,31,7,2019,1,52,"count",1,NA,NA,"7/31/2019","52_1","GPOR","NR",0
