"site.id","lat","lon","day","month","year","survey.conducted","survey.id","data.type","pass.id","species","age","individual.id","time.to.detect","count","date","survey.pass"
464,39.645834,-79.46875,19,8,2013,1,203,"PO",1,"DFUS","adult",NA,NA,1,"8/19/2013","203_1"
522,39.6875,-78.96875,11,3,2012,1,204,"PO",1,"DFUS","adult",NA,NA,1,"3/11/2012","204_1"
522,39.6875,-78.96875,11,3,2012,1,205,"PO",1,"DFUS","larva",NA,NA,1,"3/11/2012","205_1"
578,39.729166,-78.96875,10,12,2011,1,206,"PO",1,"DFUS","adult",NA,NA,1,"12/10/2011","206_1"
578,39.729166,-78.96875,10,1,2012,1,207,"PO",1,"DFUS","adult",NA,NA,1,"1/10/2012","207_1"
472,39.645834,-78.90625,14,4,2013,1,208,"PO",1,"DFUS","adult",NA,NA,1,"4/14/2013","208_1"
148,39.229166,-77.21875,17,2,2012,1,209,"PO",1,"DFUS","adult",NA,NA,1,"2/17/2012","209_1"
122,39.145834,-77.15625,7,12,2011,1,210,"PO",1,"DFUS","larva",NA,NA,1,"12/7/2011","210_1"
132,39.1875,-77.28125,9,5,2014,1,211,"PO",1,"DFUS","adult",NA,NA,1,"5/9/2014","211_1"
147,39.229166,-77.28125,7,12,2011,1,212,"PO",1,"DFUS","adult",NA,NA,1,"12/7/2011","212_1"
147,39.229166,-77.28125,7,12,2011,1,213,"PO",1,"DFUS","larva",NA,NA,1,"12/7/2011","213_1"
120,39.145834,-77.28125,31,12,2012,1,214,"PO",1,"DFUS","adult",NA,NA,1,"12/31/2012","214_1"
207,39.354166,-79.28125,3,4,2012,1,215,"PO",1,"DFUS","adult",NA,NA,1,"4/3/2012","215_1"
519,39.6875,-79.15625,7,5,2012,1,216,"PO",1,"DFUS","adult",NA,NA,1,"5/7/2012","216_1"
519,39.6875,-79.15625,22,2,2014,1,217,"PO",1,"DFUS","adult",NA,NA,1,"2/22/2014","217_1"
518,39.6875,-79.21875,22,5,2014,1,218,"PO",1,"DFUS","adult",NA,NA,1,"5/22/2014","218_1"
575,39.729166,-79.15625,13,2,2015,1,219,"PO",1,"DFUS","adult",NA,NA,1,"2/13/2015","219_1"
574,39.729166,-79.21875,10,5,2015,1,220,"PO",1,"DFUS","adult",NA,NA,1,"5/10/2015","220_1"
469,39.645834,-79.15625,27,8,2012,1,221,"PO",1,"DFUS","adult",NA,NA,1,"8/27/2012","221_1"
468,39.645834,-79.21875,10,5,2015,1,222,"PO",1,"DFUS","adult",NA,NA,1,"5/10/2015","222_1"
468,39.645834,-79.21875,11,6,2015,1,223,"PO",1,"DFUS","adult",NA,NA,1,"6/11/2015","223_1"
404,39.5625,-76.78125,17,3,2013,1,224,"PO",1,"DFUS","adult",NA,NA,1,"3/17/2013","224_1"
403,39.5625,-76.84375,17,3,2013,1,225,"PO",1,"DFUS","adult",NA,NA,1,"3/17/2013","225_1"
450,39.604166,-76.78125,17,3,2013,1,226,"PO",1,"DFUS","adult",NA,NA,1,"3/17/2013","226_1"
449,39.604166,-76.84375,29,5,2013,1,227,"PO",1,"DFUS","juvenile",NA,NA,1,"5/29/2013","227_1"
