"","site.id","lat","lon","stateProvince","source","coord.unc","eventDate","day","month","year","survey.conducted","survey.id","pass.id","survey.pass","data.type","species","age","individual.id","time.to.detect","count"
"36","Museum234",44.385375,-70.560754,"Maine","Museum",1851,"2008-07-12",12,7,2008,1,36,1,"36_1","PO","GPOR","NR",NA,NA,1
"37","Museum275",44.976761,-69.490949,"Maine","Museum",1851,"2008-09-25",25,9,2008,1,37,1,"37_1","PO","GPOR","NR",NA,NA,1
"38","Museum243",44.532864,-70.484506,"Maine","Museum",1851,"2008-06-25",25,6,2008,1,38,1,"38_1","PO","GPOR","NR",NA,NA,1
"39","Museum214",43.747639,-70.909834,"Maine","Museum",1851,"2013-09-28",28,9,2013,1,39,1,"39_1","PO","GPOR","NR",NA,NA,1
"40","Museum223",44.205856,-70.446569,"Maine","Museum",1851,"2013-09-29",29,9,2013,1,40,1,"40_1","PO","GPOR","NR",NA,NA,1
"41","Museum306",45.56343,-70.101975,"Maine","Museum",1851,"2014-07-11",11,7,2014,1,41,1,"41_1","PO","GPOR","NR",NA,NA,1
"42","Museum295",45.269752,-70.053547,"Maine","Museum",1851,"2014-09-28",28,9,2014,1,42,1,"42_1","PO","GPOR","NR",NA,NA,1
"43","Museum240",44.47983,-72.82278,"Vermont","Museum",1851,"2016-08-07",7,8,2016,1,43,1,"43_1","PO","GPOR","NR",NA,NA,1
"44","Museum276",44.999766,-70.882951,"Maine","Museum",50,"2025-08-11",11,8,2025,1,44,1,"44_1","PO","GPOR","NR",NA,NA,1
"45","Museum293",45.236778,-70.299914,"Maine","Museum",1851,"2014-09-28",28,9,2014,1,45,1,"45_1","PO","GPOR","NR",NA,NA,1
"46","Museum259",44.726454,-69.813168,"Maine","Museum",8548,"2007-09-26",26,9,2007,1,46,1,"46_1","PO","GPOR","NR",NA,NA,1
"47","Museum254",44.660284,-70.887327,"Maine","Museum",1851,"2014-08-07",7,8,2014,1,47,1,"47_1","PO","GPOR","NR",NA,NA,1
