strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
170200090205,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200090206,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200090207,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200090208,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200090209,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200090210,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200090301,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200090302,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200090303,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200100101,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200100102,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200100103,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200100201,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200100202,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200100203,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200100204,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200100208,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200100305,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200100307,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200100308,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200100309,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200100310,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200100402,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200100403,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200100405,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200100406,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200100407,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200100408,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200100409,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200100501,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200100502,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200100503,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200100506,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110101,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110102,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110103,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110104,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110105,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110106,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110107,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110108,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110109,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110110,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110111,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110201,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110202,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110203,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110301,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110302,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110303,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110304,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110305,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110306,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110307,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110308,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110401,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110402,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110403,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110404,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110405,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110406,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110501,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110502,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110503,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110601,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110602,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110603,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110604,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110701,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110702,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110703,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110704,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110705,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110706,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110707,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170200110708,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010101,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170300010102,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
