"SSAR.scientific","SSAR.common","spp.type","DS.code","all.codes","SSAR.names","IUCN.scientific","iNat.scientific"
"Eurycea wilderae","Blue Ridge Two-lined Salamander","Salamander","EWIL","EWIL","Eurycea wilderae","Eurycea wilderae","Eurycea wilderae"
"Gastrophryne carolinensis","Eastern Narrow-mouthed Toad","Frog/Toad","GACA","GACA","Gastrophryne carolinensis","Gastrophryne carolinensis","Gastrophryne carolinensis"
"Gastrophryne mazatlanensis","Sinaloan Narrow-mouthed Toad","Frog/Toad","GAMA","GAMA","Gastrophryne mazatlanensis","Gastrophryne mazatlanensis","Gastrophryne mazatlanensis"
"Gastrophryne olivacea","Western Narrow-mouthed Toad","Frog/Toad","GAOL","GAOL","Gastrophryne olivacea","Gastrophryne olivacea","Gastrophryne olivacea"
"Glandirana rugosa","Japanese Wrinkled Frog","Frog/Toad","GLRU","GLRU","Glandirana rugosa","Glandirana rugosa","Glandirana rugosa"
"Gyrinophilus gulolineatus","Berry Cave Salamander","Salamander","GYGU","GYGU","Gyrinophilus gulolineatus","Gyrinophilus gulolineatus","Gyrinophilus gulolineatus"
"Gyrinophilus palleucus","Tennessee Cave Salamander","Salamander","GYPA","GYPA|GYPANE|GYPAPA","Gyrinophilus palleucus, Gyrinophilus palleucus necturoides, Gyrinophilus palleucus palleucus","Gyrinophilus palleucus","Gyrinophilus palleucus, Gyrinophilus palleucus necturoides, Gyrinophilus palleucus palleucus"
"Gyrinophilus porphyriticus","Spring Salamander","Salamander","GPOR","GPOR|GPORDA|GPORDU|GPORDR|GPORPO","Gyrinophilus porphyriticus, Gyrinophilus porphyriticus danielsi, Gyrinophilus porphyriticus dunni, Gyrinophilus porphyriticus duryi, Gyrinophilus porphyriticus porphyriticus","Gyrinophilus porphyriticus","Gyrinophilus porphyriticus, Gyrinophilus porphyriticus danielsi, Gyrinophilus porphyriticus dunni, Gyrinophilus porphyriticus duryi, Gyrinophilus porphyriticus porphyriticus"
"Gyrinophilus subterraneus","West Virginia Spring Salamander","Salamander","GYSU","GYSU","Gyrinophilus subterraneus","Gyrinophilus subterraneus","Gyrinophilus subterraneus"
"Hemidactylium scutatum","Four-toed Salamander","Salamander","HSCU","HSCU","Hemidactylium scutatum","Hemidactylium scutatum","Hemidactylium scutatum"
"Hydromantes brunus","Limestone Salamander","Salamander","HYBR","HYBR","Hydromantes brunus","Hydromantes brunus","Hydromantes brunus"
"Hydromantes platycephalus","Mount Lyell Salamander","Salamander","HYPL","HYPL","Hydromantes platycephalus","Hydromantes platycephalus","Hydromantes platycephalus"
"Hydromantes samweli","Samwel Shasta Salamander","Salamander","HYSA","HYSA","Hydromantes samweli","Hydromantes samweli","Hydromantes samweli"
"Hydromantes shastae","Shasta Salamander","Salamander","HYSH","HYSH","Hydromantes shastae","Hydromantes shastae","Hydromantes shastae"
"Hydromantes wintu","Wintu Shasta Salamander","Salamander","HYWI","HYWI","Hydromantes wintu","Hydromantes wintu","Hydromantes wintu"
"Hypopachus variolosus","Sheep Frog","Frog/Toad","HYVA","HYVA","Hypopachus variolosus","Hypopachus variolosus","Hypopachus variolosus"
"Incilius alvarius","Sonoran Desert Toad","Frog/Toad","INAL","INAL","Incilius alvarius","Incilius alvarius","Incilius alvarius"
"Incilius nebulifer","Gulf Coast Toad","Frog/Toad","INNE","INNE","Incilius nebulifer","Incilius nebulifer","Incilius nebulifer"
"Leptodactylus fragilis","Mexican White-lipped Frog","Frog/Toad","LEFR","LEFR","Leptodactylus fragilis","Leptodactylus fragilis","Leptodactylus fragilis"
"Lithobates areolatus","Crawfish Frog","Frog/Toad","LIAR","LIAR|LIARAR|LIARCI","Lithobates areolatus, Lithobates areolatus areolatus, Lithobates areolatus circulosus","Lithobates areolatus","Lithobates areolatus, Lithobates areolatus areolatus, Lithobates areolatus circulosus"
"Lithobates berlandieri","Rio Grande Leopard Frog","Frog/Toad","LIBE","LIBE","Lithobates berlandieri","Lithobates berlandieri","Lithobates berlandieri"
"Lithobates blairi","Plains Leopard Frog","Frog/Toad","LIBL","LIBL","Lithobates blairi","Lithobates blairi","Lithobates blairi"
"Lithobates capito","Gopher Frog","Frog/Toad","LITC","LITC","Lithobates capito","Lithobates capito","Lithobates capito"
"Lithobates catesbeianus","American bullfrog","Frog/Toad","LICA","LICA","Lithobates catesbeianus","Aquarana catesbeianus","Lithobates catesbeianus"
"Lithobates chiricahuensis","Chiricahua Leopard Frog","Frog/Toad","RACH","RACH","Lithobates chiricahuensis","Lithobates chiricahuensis","Lithobates chiricahuensis"
"Lithobates clamitans","Green Frog","Frog/Toad","LICL","LICL","Lithobates clamitans","Aquarana clamitans","Lithobates clamitans"
"Lithobates fisheri","Vegas Valley Leopard Frog","Frog/Toad","LIFI","LIFI","Lithobates fisheri","Lithobates fisheri","Lithobates fisheri"
"Lithobates grylio","Pig Frog","Frog/Toad","LIGR","LIGR","Lithobates grylio","Aquarana grylio","Lithobates grylio"
"Lithobates heckscheri","River Frog","Frog/Toad","LIHE","LIHE","Lithobates heckscheri","Aquarana heckscheri","Lithobates heckscheri"
"Lithobates kauffeldi","Mid-Atlantic Coast Leopard Frog","Frog/Toad","LIKA","LIKA","Lithobates kauffeldi","Lithobates kauffeldi","Lithobates kauffeldi"
"Lithobates okaloosae","Florida Bog Frog","Frog/Toad","LIOK","LIOK","Lithobates okaloosae","Aquarana okaloosae","Lithobates okaloosae"
"Lithobates onca","Relict Leopard Frog","Frog/Toad","RAON","RAON","Lithobates onca","Lithobates onca","Lithobates onca"
"Lithobates palustris","Pickerel Frog","Frog/Toad","RAPA","RAPA","Lithobates palustris","Lithobates palustris","Lithobates palustris"
"Lithobates pipiens","Northern Leopard Frog","Frog/Toad","RAPI","RAPI","Lithobates pipiens","Lithobates pipiens","Lithobates pipiens"
"Lithobates septentrionalis","Mink frog","Frog/Toad","LSEP","LSEP","Lithobates septentrionalis","Aquarana septentrionalis","Lithobates septentrionalis"
"Lithobates sevosus","Dusky Gopher Frog","Frog/Toad","LISE","LISE","Lithobates sevosus","Lithobates sevosus","Lithobates sevosus"
"Lithobates sphenocephalus","Southern Leopard Frog","Frog/Toad","LISP","LISP|LSPHSP|LUTRUT","Lithobates sphenocephalus, Lithobates sphenocephalus sphenocephalus, Lithobates sphenocephalus utricularius","Lithobates sphenocephalus","Lithobates sphenocephalus, Lithobates sphenocephalus sphenocephalus, Lithobates sphenocephalus utricularius"
"Lithobates sylvaticus","Wood Frog","Frog/Toad","RASY","RASY","Lithobates sylvaticus","Lithobates sylvaticus","Lithobates sylvaticus"
"Lithobates tarahumarae","Tarahumara Frog","Frog/Toad","LITA","LITA","Lithobates tarahumarae","Lithobates tarahumarae","Lithobates tarahumarae"
"Lithobates virgatipes","Carpenter Frog","Frog/Toad","LIVI","LIVI","Lithobates virgatipes","Aquarana virgatipes","Lithobates virgatipes"
"Lithobates yavapaiensis","Lowland Leopard Frog","Frog/Toad","LIYA","LIYA","Lithobates yavapaiensis","Lithobates yavapaiensis","Lithobates yavapaiensis"
"Necturus alabamensis","Black Warrior River Waterdog","Salamander","NEAL","NEAL","Necturus alabamensis","Necturus alabamensis","Necturus alabamensis"
"Necturus beyeri","Gulf Coast Waterdog","Salamander","NEBE","NEBE","Necturus beyeri","Necturus beyeri","Necturus beyeri"
"Necturus lewisi","Neuse River Waterdog","Salamander","NELE","NELE","Necturus lewisi","Necturus lewisi","Necturus lewisi"
"Necturus louisianensis","Red River Mudpuppy","Salamander","NMACLO","NMACLO","Necturus louisianensis","Necturus louisianensis","Necturus louisianensis"
"Necturus maculosus","Mudpuppy","Salamander","NMAC","NMAC","Necturus maculosus","Necturus maculosus","Necturus maculosus"
"Necturus moleri","Apalachicola Waterdog","Salamander","NEMO","NEMO","Necturus moleri","Necturus moleri","Necturus moleri"
"Necturus mounti","Escambia Waterdog","Salamander","NECM","NECM","Necturus mounti","Necturus mounti","Necturus mounti"
"Necturus punctatus","Dwarf Waterdog","Salamander","NEPU","NEPU","Necturus punctatus","Necturus punctatus","Necturus punctatus"
"Notophthalmus meridionalis","Black-spotted Newt","Salamander","NOME","NOME|NOMEME","Notophthalmus meridionalis, Notophthalmus meridionalis meridionalis","Notophthalmus meridionalis","Notophthalmus meridionalis, Notophthalmus meridionalis meridionalis"
"Notophthalmus perstriatus","Striped Newt","Salamander","NOPE","NOPE","Notophthalmus perstriatus","Notophthalmus perstriatus","Notophthalmus perstriatus"
"Notophthalmus viridescens","Eastern Newt","Salamander","NOVI","NOVI|NOVIDO|NOVILO|NOVIPI|NOVIVI","Notophthalmus viridescens, Notophthalmus viridescens dorsalis, Notophthalmus viridescens louisianensis, Notophthalmus viridescens piaropicola, Notophthalmus viridescens viridescens","Notophthalmus viridescens","Notophthalmus viridescens, Notophthalmus viridescens dorsalis, Notophthalmus viridescens louisianensis, Notophthalmus viridescens piaropicola, Notophthalmus viridescens viridescens"
"Osteopilus septentrionalis","Cuban Treefrog","Frog/Toad","OSSE","OSSE","Osteopilus septentrionalis","Osteopilus septentrionalis","Osteopilus septentrionalis"
"Phaeognathus hubrichti","Red Hills Salamander","Salamander","PHHU","PHHU","Phaeognathus hubrichti","Phaeognathus hubrichti","Phaeognathus hubrichti"
"Plethodon ainsworthi","Bay Springs Salamander","Salamander","PLAI","PLAI","Plethodon ainsworthi","Plethodon ainsworthi","Plethodon ainsworthi"
"Plethodon albagula","Western Slimy Salamander","Salamander","PLAL","PLAL","Plethodon albagula","Plethodon albagula","Plethodon albagula"
"Plethodon amplus","Blue Ridge Gray-cheeked Salamander","Salamander","PLAM","PLAM","Plethodon amplus","Plethodon amplus","Plethodon amplus"
"Plethodon angusticlavius","Ozark Zigzag Salamander","Salamander","PLAN","PLAN","Plethodon angusticlavius","Plethodon angusticlavius","Plethodon angusticlavius"
"Plethodon asupak","Scott Bar Salamander","Salamander","PLAS","PLAS","Plethodon asupak","Plethodon asupak","Plethodon asupak"
"Plethodon aureolus","Tellico Salamander","Salamander","PLAU","PLAU","Plethodon aureolus","Plethodon aureolus","Plethodon aureolus"
"Plethodon caddoensis","Caddo Mountain Salamander","Salamander","PLCA","PLCA","Plethodon caddoensis","Plethodon caddoensis","Plethodon caddoensis"
"Plethodon chattahoochee","Chattahoochee Slimy Salamander","Salamander","PLCH","PLCH","Plethodon chattahoochee","Plethodon chattahoochee","Plethodon chattahoochee"
"Plethodon cheoah","Cheoah Bald Salamander","Salamander","PLEC","PLEC","Plethodon cheoah","Plethodon cheoah","Plethodon cheoah"
"Plethodon chlorobryonis","Atlantic Coast Slimy Salamander","Salamander","PCHL","PCHL","Plethodon chlorobryonis","Plethodon chlorobryonis","Plethodon chlorobryonis"
"Plethodon cinereus","Eastern Red-backed Salamander","Salamander","PCIN","PCIN","Plethodon cinereus","Plethodon cinereus","Plethodon cinereus"
"Plethodon cylindraceus","White-spotted Slimy Salamander","Salamander","PCYL","PCYL","Plethodon cylindraceus","Plethodon cylindraceus","Plethodon cylindraceus"
"Plethodon dixi","Dixie Caverns Salamander","Salamander","PLDI","PLDI","Plethodon dixi","Plethodon dixi","Plethodon dixi"
"Plethodon dorsalis","Northern Zigzag Salamander","Salamander","PLDO","PLDO","Plethodon dorsalis","Plethodon dorsalis","Plethodon dorsalis"
"Plethodon dunni","Dunn's Salamander","Salamander","PLDU","PLDU","Plethodon dunni","Plethodon dunni","Plethodon dunni"
"Plethodon electromorphus","Northern Ravine Salamander","Salamander","PLEL","PLEL","Plethodon electromorphus","Plethodon electromorphus","Plethodon electromorphus"
"Plethodon elongatus","Del Norte Salamander","Salamander","PLEE","PLEE","Plethodon elongatus","Plethodon elongatus","Plethodon elongatus"
"Plethodon fourchensis","Fourche Mountain Salamander","Salamander","PLFO","PLFO","Plethodon fourchensis","Plethodon fourchensis","Plethodon fourchensis"
"Plethodon glutinosus complex","Northern Slimy Salamander","Salamander","PGLU","PGLU|PLGR|PLMI","Plethodon glutinosus, Plethodon grobmani, Plethodon mississippi","Plethodon glutinosus","Plethodon glutinosus, Plethodon grobmani, Plethodon mississippi"
"Plethodon hoffmani","Valley and Ridge Salamander","Salamander","PHOF","PHOF","Plethodon hoffmani","Plethodon hoffmani","Plethodon hoffmani"
"Plethodon hubrichti","Peaks of Otter Salamander","Salamander","PLHU","PLHU","Plethodon hubrichti","Plethodon hubrichti","Plethodon hubrichti"
"Plethodon idahoensis","Coeur d'Alene Salamander","Salamander","PLID","PLID","Plethodon idahoensis","Plethodon idahoensis","Plethodon idahoensis"
"Plethodon jacksoni","Blacksburg Salamander","Salamander","PLJA","PLJA","Plethodon jacksoni","Plethodon jacksoni","Plethodon jacksoni"
"Plethodon jordani","Red-cheeked Salamander","Salamander","PJOR","PJOR","Plethodon jordani","Plethodon jordani","Plethodon jordani"
"Plethodon kentucki","Cumberland Plateau Salamander","Salamander","PLKE","PLKE","Plethodon kentucki","Plethodon kentucki","Plethodon kentucki"
"Plethodon kiamichi","Kiamichi Slimy Salamander","Salamander","PLEK","PLEK","Plethodon kiamichi","Plethodon kiamichi","Plethodon kiamichi"
"Plethodon kisatchie","Louisiana Slimy Salamander","Salamander","PLKI","PLKI","Plethodon kisatchie","Plethodon kisatchie","Plethodon kisatchie"
"Plethodon larselli","Larch Mountain Salamander","Salamander","PLLA","PLLA","Plethodon larselli","Plethodon larselli","Plethodon larselli"
"Plethodon meridianus","South Mountain Gray-cheeked Salamander","Salamander","PLEM","PLEM","Plethodon meridianus","Plethodon meridianus","Plethodon meridianus"
"Plethodon metcalfi","Southern Gray-cheeked Salamander","Salamander","PLME","PLME","Plethodon metcalfi","Plethodon metcalfi","Plethodon metcalfi"
"Plethodon montanus","Northern Gray-cheeked Salamander","Salamander","PLMO","PLMO","Plethodon montanus","Plethodon montanus","Plethodon montanus"
"Plethodon neomexicanus","Jemez Mountains Salamander","Salamander","PLNE","PLNE","Plethodon neomexicanus","Plethodon neomexicanus","Plethodon neomexicanus"
"Plethodon nettingi","Cheat Mountain Salamander","Salamander","PLEN","PLEN","Plethodon nettingi","Plethodon nettingi","Plethodon nettingi"
"Plethodon ocmulgee","Ocmulgee Slimy Salamander","Salamander","PLOC","PLOC","Plethodon ocmulgee","Plethodon ocmulgee","Plethodon ocmulgee"
"Plethodon ouachitae","Rich Mountain Salamander","Salamander","PLOU","PLOU","Plethodon ouachitae","Plethodon ouachitae","Plethodon ouachitae"
"Plethodon pauleyi","Yellow-spotted Woodland Salamander","Salamander","PLPA","PLPA","Plethodon pauleyi","Plethodon pauleyi","Plethodon pauleyi"
"Plethodon petraeus","Pigeon Mountain Salamander","Salamander","PLPE","PLPE","Plethodon petraeus","Plethodon petraeus","Plethodon petraeus"
"Plethodon punctatus","Cow Knob Salamander","Salamander","PLPU","PLPU","Plethodon punctatus","Plethodon punctatus","Plethodon punctatus"
"Plethodon richmondi","Southern Ravine Salamander","Salamander","PLRI","PLRI","Plethodon richmondi","Plethodon richmondi","Plethodon richmondi"
"Plethodon savannah","Savannah Slimy Salamander","Salamander","PLSA","PLSA","Plethodon savannah","Plethodon savannah","Plethodon savannah"
"Plethodon sequoyah","Sequoyah Slimy Salamander","Salamander","PLES","PLES","Plethodon sequoyah","Plethodon sequoyah","Plethodon sequoyah"
"Plethodon serratus","Southern Red-backed Salamander","Salamander","PLSE","PLSE","Plethodon serratus","Plethodon serratus","Plethodon serratus"
"Plethodon shenandoah","Shenandoah Salamander","Salamander","PLSH","PLSH","Plethodon shenandoah","Plethodon shenandoah","Plethodon shenandoah"
"Plethodon sherando","Big Levels Salamander","Salamander","PSHE","PSHE","Plethodon sherando","Plethodon sherando","Plethodon sherando"
"Plethodon shermani","Red-legged Salamander","Salamander","SHER","SHER","Plethodon shermani","Plethodon shermani","Plethodon shermani"
"Plethodon stormi","Siskiyou Mountains Salamander","Salamander","PLST","PLST","Plethodon stormi","Plethodon stormi","Plethodon stormi"
"Plethodon teyahalee","Southern Appalachian Salamander","Salamander","POCO","POCO","Plethodon teyahalee","Plethodon teyahalee","Plethodon teyahalee"
"Plethodon vandykei","Van Dyke's Salamander","Salamander","PLVA","PLVA","Plethodon vandykei","Plethodon vandykei","Plethodon vandykei"
"Plethodon variolatus","South Carolina Slimy Salamander","Salamander","PLEV","PLEV","Plethodon variolatus","Plethodon variolatus","Plethodon variolatus"
"Plethodon vehiculum","Western Red-backed Salamander","Salamander","PLVE","PLVE","Plethodon vehiculum","Plethodon vehiculum","Plethodon vehiculum"
"Plethodon ventralis","Southern Zigzag Salamander","Salamander","PVEN","PVEN","Plethodon ventralis","Plethodon ventralis","Plethodon ventralis"
"Plethodon virginia","Shenandoah Mountain Salamander","Salamander","PLVI","PLVI","Plethodon virginia","Plethodon virginia","Plethodon virginia"
"Plethodon websteri","Webster's Salamander","Salamander","PLWE","PLWE","Plethodon websteri","Plethodon websteri","Plethodon websteri"
"Plethodon wehrlei","Wehrle's Salamander","Salamander","PLEW","PLEW","Plethodon wehrlei","Plethodon wehrlei","Plethodon wehrlei"
"Plethodon welleri","Weller's Salamander","Salamander","PWEL","PWEL","Plethodon welleri","Plethodon welleri","Plethodon welleri"
"Plethodon yonahlossee","Yonahlossee Salamander","Salamander","PLYO","PLYO","Plethodon yonahlossee","Plethodon yonahlossee","Plethodon yonahlossee"
"Pseudacris brachyphona","Mountain Chorus Frog","Frog/Toad","PSBR","PSBR","Pseudacris brachyphona","Pseudacris brachyphona","Pseudacris brachyphona"
"Pseudacris brimleyi","Brimley's Chorus Frog","Frog/Toad","PSEB","PSEB","Pseudacris brimleyi","Pseudacris brimleyi","Pseudacris brimleyi"
"Pseudacris cadaverina","California Treefrog","Frog/Toad","PSCA","PSCA","Pseudacris cadaverina","Pseudacris cadaverina","Pseudacris cadaverina"
"Pseudacris clarkii","Spotted Chorus Frog","Frog/Toad","PSCL","PSCL","Pseudacris clarkii","Pseudacris clarkii","Pseudacris clarkii"
"Pseudacris collinsorum","Collinses' Mountain Chorus Frog","Frog/Toad","PSCO","PSCO","Pseudacris collinsorum","Pseudacris collinsorum","Pseudacris collinsorum"
"Pseudacris crucifer","Spring Peeper","Frog/Toad","PSCR","PSCR","Pseudacris crucifer","Pseudacris crucifer","Pseudacris crucifer"
"Pseudacris feriarum","Upland Chorus Frog","Frog/Toad","PSFE","PSFE","Pseudacris feriarum","Pseudacris feriarum","Pseudacris feriarum"
"Pseudacris fouquettei","Cajun Chorus Frog","Frog/Toad","PSFO","PSFO","Pseudacris fouquettei","Pseudacris fouquettei","Pseudacris fouquettei"
"Pseudacris regilla complex","Pseudacris regilla complex","Frog/Toad","PSHY","PSHY|PSHYHY|PSSI|PSRE","Pseudacris hypochondriaca, Pseudacris hypochondriaca hypochondriaca, Pseudacris regilla, Pseudacris sierra","Pseudacris hypochondriaca, Pseudacris regilla, Pseudacris sierra","Pseudaris regilla"
"Pseudacris illinoensis","Illinois Chorus Frog","Frog/Toad","PSIL","PSIL","Pseudacris illinoensis","Pseudacris illinoensis","Pseudacris illinoensis"
"Pseudacris kalmi","New Jersey Chorus Frog","Frog/Toad","PSKA","PSKA","Pseudacris kalmi","Pseudacris kalmi","Pseudacris kalmi"
"Pseudacris maculata","Boreal Chorus Frog","Frog/Toad","PSMA","PSMA","Pseudacris maculata","Pseudacris maculata","Pseudacris maculata"
"Pseudacris nigrita","Southern Chorus Frog","Frog/Toad","PSNI","PSNI","Pseudacris nigrita","Pseudacris nigrita","Pseudacris nigrita"
"Pseudacris ocularis","Little Grass Frog","Frog/Toad","PSOC","PSOC","Pseudacris ocularis","Pseudacris ocularis","Pseudacris ocularis"
"Pseudacris ornata","Ornate Chorus Frog","Frog/Toad","PSOR","PSOR","Pseudacris ornata","Pseudacris ornata","Pseudacris ornata"
"Pseudacris streckeri","Strecker's Chorus Frog","Frog/Toad","PSST","PSST","Pseudacris streckeri","Pseudacris streckeri","Pseudacris streckeri"
"Pseudacris triseriata","Western Chorus Frog","Frog/Toad","PSTR","PSTR","Pseudacris triseriata","Pseudacris triseriata","Pseudacris triseriata"
"Pseudobranchus axanthus","Southern Dwarf Siren","Salamander","PSAX","PSAX|PSAXAX|PSAXBE","Pseudobranchus axanthus, Pseudobranchus axanthus axanthus, Pseudobranchus axanthus belli","Pseudobranchus axanthus","Pseudobranchus axanthus, Pseudobranchus axanthus axanthus, Pseudobranchus axanthus belli"
"Pseudobranchus striatus","Northern Dwarf Siren","Salamander","PSES","PSES|PLUSLU|PSESSP|PSESST","Pseudobranchus striatus, Pseudobranchus striatus lustricolus, Pseudobranchus striatus spheniscus, Pseudobranchus striatus striatus","Pseudobranchus striatus","Pseudobranchus striatus, Pseudobranchus striatus lustricolus, Pseudobranchus striatus spheniscus, Pseudobranchus striatus striatus"
"Pseudotriton montanus","Mud Salamander","Salamander","PMON","PMON|PMONDI|PMONFL|PMONFO|PMONMO","Pseudotriton montanus, Pseudotriton montanus diastictus, Pseudotriton montanus flavissimus, Pseudotriton montanus floridanus, Pseudotriton montanus montanus","Pseudotriton montanus, Pseudotriton diastictus","Pseudotriton montanus, Pseudotriton diastictus, Pseudotriton flavissimus, Pseudotriton flavissimus, Pseudotriton montanus"
"Pseudotriton ruber","Red Salamander","Salamander","PRUB","PRUB|PRUBNI|PRUBRU|PRUBSC|PRUBVI","Pseudotriton ruber, Pseudotriton ruber nitidus, Pseudotriton ruber ruber, Pseudotriton ruber schencki, Pseudotriton ruber vioscai","Pseudotriton ruber","Pseudotriton ruber, Pseudotriton ruber nitidus, Pseudotriton ruber ruber, Pseudotriton ruber schencki, Pseudotriton ruber vioscai"
"Rana aurora","Northern Red-legged Frog","Frog/Toad","RAAU","RAAU","Rana aurora","Rana aurora","Rana aurora"
"Rana boylii","Foothill Yellow-legged Frog","Frog/Toad","RABO","RABO","Rana boylii","Rana boylii","Rana boylii"
"Rana cascadae","Cascades Frog","Frog/Toad","RACA","RACA","Rana cascadae","Rana cascadae","Rana cascadae"
"Rana draytonii","California Red-legged Frog","Frog/Toad","RADR","RADR","Rana draytonii","Rana draytonii","Rana draytonii"
"Rana luteiventris","Columbia Spotted Frog","Frog/Toad","RALU","RALU","Rana luteiventris","Rana luteiventris","Rana luteiventris"
"Rana muscosa","Southern Mountain Yellow-legged Frog","Frog/Toad","RAMU","RAMU","Rana muscosa","Rana muscosa","Rana muscosa"
"Rana pretiosa","Oregon Spotted Frog","Frog/Toad","RAPR","RAPR","Rana pretiosa","Rana pretiosa","Rana pretiosa"
"Rana sierrae","Sierra Nevada Yellow-legged Frog","Frog/Toad","RASI","RASI","Rana sierrae","Rana sierrae","Rana sierrae"
"Rhinella horribilis","Mesoamerican Cane Toad","Frog/Toad","RHHO","RHHO","Rhinella horribilis","Rhinella horribilis","Rhinella horribilis"
"Rhinella marina","South American Cane Toad","Frog/Toad","RHMA","RHMA","Rhinella marina","Rhinella marina","Rhinella marina"
"Rhinophrynus dorsalis","Burrowing Toad","Frog/Toad","RHDO","RHDO","Rhinophrynus dorsalis","Rhinophrynus dorsalis","Rhinophrynus dorsalis"
"Rhyacotriton cascadae","Cascade Torrent Salamander","Salamander","RHCA","RHCA","Rhyacotriton cascadae","Rhyacotriton cascadae","Rhyacotriton cascadae"
"Rhyacotriton kezeri","Columbia Torrent Salamander","Salamander","RHKE","RHKE","Rhyacotriton kezeri","Rhyacotriton kezeri","Rhyacotriton kezeri"
"Rhyacotriton olympicus","Olympic Torrent Salamander","Salamander","RHOL","RHOL","Rhyacotriton olympicus","Rhyacotriton olympicus","Rhyacotriton olympicus"
"Rhyacotriton variegatus","Southern Torrent Salamander","Salamander","RHVA","RHVA","Rhyacotriton variegatus","Rhyacotriton variegatus","Rhyacotriton variegatus"
"Scaphiopus couchii","Couch's Spadefoot","Frog/Toad","SCCO","SCCO","Scaphiopus couchii","Scaphiopus couchii","Scaphiopus couchii"
"Scaphiopus holbrookii","Eastern Spadefoot","Frog/Toad","SCHO","SCHO","Scaphiopus holbrookii","Scaphiopus holbrookii","Scaphiopus holbrookii"
"Scaphiopus hurterii","Hurter's Spadefoot","Frog/Toad","SCHU","SCHU","Scaphiopus hurterii","Scaphiopus hurterii","Scaphiopus hurterii"
"Siren intermedia","Lesser Siren","Salamander","SIIN","SIIN","Siren intermedia","Siren intermedia","Siren intermedia"
"Siren lacertina","Greater Siren","Salamander","SILA","SILA","Siren lacertina","Siren lacertina","Siren lacertina"
"Siren nettingi","Western Lesser Siren","Salamander","SIINNE","SIINNE","Siren nettingi","","Siren nettingi"
"Siren reticulata","Reticulated Siren","Salamander","SIRE","SIRE","Siren reticulata","Siren reticulata","Siren reticulata"
"Siren sphagnicola","Seepage Siren","Salamander","SISP","SISP","Siren sphagnicola","","Siren sphagnicola"
"Smilisca baudinii","Mexican Treefrog","Frog/Toad","SMBA","SMBA","Smilisca baudinii","Smilisca baudinii","Smilisca baudinii"
"Smilisca fodiens","Lowland Burrowing Treefrog","Frog/Toad","SMFO","SMFO","Smilisca fodiens","Smilisca fodiens","Smilisca fodiens"
"Spea bombifrons","Plains Spadefoot","Frog/Toad","SPBO","SPBO","Spea bombifrons","Spea bombifrons","Spea bombifrons"
"Spea hammondii","Western Spadefoot","Frog/Toad","SPHA","SPHA","Spea hammondii","Spea hammondii","Spea hammondii"
"Spea intermontana","Great Basin Spadefoot","Frog/Toad","SPIN","SPIN","Spea intermontana","Spea intermontana","Spea intermontana"
"Spea multiplicata","Mexican Spadefoot","Frog/Toad","SPMU","SPMU|SPMUST","Spea multiplicata, Spea multiplicata stagnalis","Spea multiplicata",""
"Stereochilus marginatus","Many-lined Salamander","Salamander","STMA","STMA","Stereochilus marginatus","Stereochilus marginatus","Stereochilus marginatus"
"Taricha granulosa","Rough-skinned Newt","Salamander","TAGR","TAGR","Taricha granulosa","Taricha granulosa","Taricha granulosa"
"Taricha rivularis","Red-bellied Newt","Salamander","TARI","TARI","Taricha rivularis","Taricha rivularis","Taricha rivularis"
"Taricha sierrae","Sierra Newt","Salamander","TASI","TASI","Taricha sierrae","Taricha sierrae","Taricha sierrae"
"Taricha torosa","California Newt","Salamander","TATO","TATO","Taricha torosa","Taricha torosa","Taricha torosa"
"Urspelerpes brucei","Patch-nosed Salamander","Salamander","URBR","URBR","Urspelerpes brucei","Urspelerpes brucei","Urspelerpes brucei"
"Xenopus laevis","African Clawed Frog","Frog/Toad","XELA","XELA","Xenopus laevis","Xenopus laevis","Xenopus laevis"
