"SSAR.scientific","SSAR.common","spp.type","DS.code","all.codes","SSAR.names","IUCN.scientific","iNat.scientific"
"Anaxyrus nelsoni","Amargosa Toad","Frog/Toad","ANNE","ANNE","Anaxyrus nelsoni","Anaxyrus nelsoni","Anaxyrus nelsoni"
"Anaxyrus nevadensis","Railroad Valley Toad","Frog/Toad","ANAN","ANAN","Anaxyrus nevadensis","Anaxyrus nevadensis","Anaxyrus nevadensis"
"Anaxyrus punctatus","Red-spotted Toad","Frog/Toad","ANPU","ANPU","Anaxyrus punctatus","Anaxyrus punctatus","Anaxyrus punctatus"
"Anaxyrus quercicus","Oak Toad","Frog/Toad","ANQU","ANQU","Anaxyrus quercicus","Anaxyrus quercicus","Anaxyrus quercicus"
"Anaxyrus retiformis","Sonoran Green Toad","Frog/Toad","ANRE","ANRE","Anaxyrus retiformis","Anaxyrus retiformis","Anaxyrus retiformis"
"Anaxyrus speciosus","Texas Toad","Frog/Toad","ANAS","ANAS","Anaxyrus speciosus","Anaxyrus speciosus","Anaxyrus speciosus"
"Anaxyrus terrestris","Southern Toad","Frog/Toad","ANTE","ANTE","Anaxyrus terrestris","Anaxyrus terrestris","Anaxyrus terrestris"
"Anaxyrus williamsi","Dixie Valley Toad","Frog/Toad","ANWI","ANWI","Anaxyrus williamsi","Anaxyrus williamsi","Anaxyrus williamsi"
"Anaxyrus woodhousii","Woodhouse's Toad","Frog/Toad","ANWO","ANWO|ANWOAU|ANWOWO","Anaxyrus woodhousii, Anaxyrus woodhousii australis, Anaxyrus woodhousii woodhousii","Anaxyrus woodhousii","Anaxyrus woodhousii, Anaxyrus woodhousii australis, Anaxyrus woodhousii woodhousii"
"Aneides aeneus","Green Salamander","Salamander","ANAE","ANAE","Aneides aeneus","Aneides aeneus","Aneides aeneus"
"Aneides caryaensis","Hickory Nut Gorge Green Salamander","Salamander","ANEC","ANEC","Aneides caryaensis","Aneides caryaensis","Aneides caryaensis"
"Aneides ferreus","Clouded Salamander","Salamander","ANFE","ANFE","Aneides ferreus","Aneides ferreus","Aneides ferreus"
"Aneides flavipunctatus","Black Salamander","Salamander","ANFL","ANFL","Aneides flavipunctatus","Aneides flavipunctatus","Aneides flavipunctatus"
"Aneides hardii","Sacramento Mountain Salamander","Salamander","ANHA","ANHA","Aneides hardii","Aneides hardii","Aneides hardii"
"Aneides iecanus","Shasta Black Salamander","Salamander","ANIE","ANIE","Aneides iecanus","Aneides iecanus","Aneides iecanus"
"Aneides klamathensis","Klamath Black Salamander","Salamander","ANKL","ANKL","Aneides klamathensis","Aneides klamathensis","Aneides klamathensis"
"Aneides lugubris","Arboreal Salamander","Salamander","ANLU","ANLU","Aneides lugubris","Aneides lugubris","Aneides lugubris"
"Aneides niger","Santa Cruz Black Salamander","Salamander","ANFLNI","ANFLNI","Aneides niger","Aneides niger","Aneides niger"
"Aneides vagrans","Wandering Salamander","Salamander","ANVA","ANVA","Aneides vagrans","Aneides vagrans","Aneides vagrans"
"Ascaphus montanus","Rocky Mountain Tailed Frog","Frog/Toad","ASMO","ASMO","Ascaphus montanus","Ascaphus montanus","Ascaphus montanus"
"Ascaphus truei","Coastal Tailed Frog","Frog/Toad","ASTR","ASTR","Ascaphus truei","Ascaphus truei","Ascaphus truei"
"Batrachoseps altasierrae","Greenhorn Mountains Slender Salamander","Salamander","BAAL","BAAL","Batrachoseps altasierrae","Batrachoseps altasierrae","Batrachoseps altasierrae"
"Batrachoseps attenuatus","California Slender Salamander","Salamander","BAAT","BAAT","Batrachoseps attenuatus","Batrachoseps attenuatus","Batrachoseps attenuatus"
"Batrachoseps bramei","Fairview Slender Salamander","Salamander","BABR","BABR","Batrachoseps bramei","Batrachoseps bramei","Batrachoseps bramei"
"Batrachoseps campi","Inyo Mountains Salamander","Salamander","BACA","BACA","Batrachoseps campi","Batrachoseps campi","Batrachoseps campi"
"Batrachoseps diabolicus","Hell Hollow Slender Salamander","Salamander","BADI","BADI","Batrachoseps diabolicus","Batrachoseps diabolicus","Batrachoseps diabolicus"
"Batrachoseps gabrieli","San Gabriel Mountains Slender Salamander","Salamander","BAGA","BAGA","Batrachoseps gabrieli","Batrachoseps gabrieli","Batrachoseps gabrieli"
"Batrachoseps gavilanensis","Gabilan Mountains Slender Salamander","Salamander","BATG","BATG","Batrachoseps gavilanensis","Batrachoseps gavilanensis","Batrachoseps gavilanensis"
"Batrachoseps gregarius","Gregarious Slender Salamander","Salamander","BAGR","BAGR","Batrachoseps gregarius","Batrachoseps gregarius","Batrachoseps gregarius"
"Batrachoseps incognitus","San Simeon Slender Salamander","Salamander","BAIN","BAIN","Batrachoseps incognitus","Batrachoseps incognitus","Batrachoseps incognitus"
"Batrachoseps kawia","Sequoia Slender Salamander","Salamander","BAKA","BAKA","Batrachoseps kawia","Batrachoseps kawia","Batrachoseps kawia"
"Batrachoseps luciae","Santa Lucia Mountains Slender Salamander","Salamander","BALU","BALU","Batrachoseps luciae","Batrachoseps luciae","Batrachoseps luciae"
"Batrachoseps major","Southern California Slender Salamaner","Salamander","BAMA","BAMA|BAMAAR|BAMAMA","Batrachoseps major, Batrachoseps major aridus, Batrachoseps major major","Batrachoseps major","Batrachoseps major, Batrachoseps aridus, Batrachoseps major"
"Batrachoseps minor","Lesser Slender Salamander","Salamander","BAMI","BAMI","Batrachoseps minor","Batrachoseps minor","Batrachoseps minor"
"Batrachoseps nigriventris","Black-bellied Slender Salamander","Salamander","BANI","BANI","Batrachoseps nigriventris","Batrachoseps nigriventris","Batrachoseps nigriventris"
"Batrachoseps pacificus complex","Channel Islands Slender Salamander","Salamander","BAPA","BAPA|BAWA","Batrachoseps pacificus, Batrachoseps wakei","Batrachoseps pacificus","Batrachoseps pacificus, Batrachoseps wakei"
"Batrachoseps regius","Kings River Slender Salamander","Salamander","BARE","BARE","Batrachoseps regius","Batrachoseps regius","Batrachoseps regius"
"Batrachoseps relictus","Relictual Slender Salamander","Salamander","BATR","BATR","Batrachoseps relictus","Batrachoseps relictus","Batrachoseps relictus"
"Batrachoseps robustus","Kern Plateau Salamander","Salamander","BARO","BARO","Batrachoseps robustus","Batrachoseps robustus","Batrachoseps robustus"
"Batrachoseps simatus","Kern Canyon Slender Salamander","Salamander","BASI","BASI","Batrachoseps simatus","Batrachoseps simatus","Batrachoseps simatus"
"Batrachoseps stebbinsi","Tehachapi Slender Salamander","Salamander","BAST","BAST","Batrachoseps stebbinsi","Batrachoseps stebbinsi","Batrachoseps stebbinsi"
"Batrachoseps wrighti","Oregon Slender Salamander","Salamander","BAWR","BAWR","Batrachoseps wrighti","Batrachoseps wrighti","Batrachoseps wrighti"
"Craugastor augusti","Barking Frog","Frog/Toad","CRAU","CRAU","Craugastor augusti","Craugastor augusti","Craugastor augusti"
"Cryptobranchus alleganiensis","Hellbender","Salamander","CRAL","CRAL|CRALAL|CRALBI","Cryptobranchus alleganiensis, Cryptobranchus alleganiensis alleganiensis, Cryptobranchus alleganiensis bishopi","Cryptobranchus alleganiensis","Cryptobranchus alleganiensis, Cryptobranchus alleganiensis alleganiensis, Cryptobranchus alleganiensis bishopi"
"Dendrobates auratus","Green-and-black Poison Dart Frog","Frog/Toad","DEAU","DEAU","Dendrobates auratus","Dendrobates auratus","Dendrobates auratus"
"Desmognathus abditus","Cumberland Dusky Salamander","Salamander","DEAB","DEAB","Desmognathus abditus","Desmognathus abditus","Desmognathus abditus"
"Desmognathus aeneus","Seepage Salamander","Salamander","DAEN","DAEN","Desmognathus aeneus","Desmognathus aeneus","Desmognathus aeneus"
"Desmognathus quadramaculatus complex","Southern Black-bellied Salamander","Salamander","DQUA","DAMP|DEGV|DEKA|DEMA|DQUA","Desmognathus amphileucus, Desmognathus gvnigeusgwotli, Desmognathus kanawha, Desmognathus mavrokoilius, NA","Desmognathus quadramaculatus","Desmognathus amphileucus"
"Desmognathus apalachicolae","Apalachicola Dusky Salamander","Salamander","DEAP","DEAP","Desmognathus apalachicolae","Desmognathus apalachicolae","Desmognathus apalachicolae"
"Desmognathus aureatus","Southern Shovel-nosed Dusky Salamander","Salamander","DAUR","DAUR","Desmognathus aureatus","Desmognathus aureatus","Desmognathus aureatus"
"Desmognathus auriculatus","Holbrook's Southern Dusky Salamander","Salamander","DESA","DESA","Desmognathus auriculatus","Desmognathus auriculatus","Desmognathus auriculatus"
"Desmognathus brimleyorum","Ouachita Dusky Salamander","Salamander","DEBR","DEBR","Desmognathus brimleyorum","Desmognathus brimleyorum","Desmognathus brimleyorum"
"Desmognathus carolinensis","Carolina Mountain Dusky Salamander","Salamander","DESC","DESC","Desmognathus carolinensis","Desmognathus carolinensis","Desmognathus carolinensis"
"Desmognathus conanti complex","Spotted Dusky Salamander","Salamander","DCON","DCON|DANI|DCAM|DECA|DETI","Desmognathus conanti, Desmognathus anicetus, Desmognathus campi, Desmognathus catahoula, Desmognathus tilleyi","Desmognathus conanti","Desmognathus conanti, Desmognathus anicetus, Desmognathus campi, Desmognathus catahoula, Desmognathus tilleyi"
"Desmognathus folkertsi","Dwarf Black-bellied Salamander","Salamander","DEFO","DEFO","Desmognathus folkertsi","Desmognathus folkertsi","Desmognathus folkertsi"
"Desmognathus fuscus complex","Northern Dusky Salamander","Salamander","DFUS","DFUS|DFCO|DEBA|DLYC","Desmognathus fuscus, Desmognathus bairdi, Desmognathus lycos","Desmognathus fuscus","Desmognathus fuscus, Desmognathus bairdi, Desmognathus lycos"
"Desmognathus imitator complex","Imitator Salamander","Salamander","DIMI","DIMI|DMCO","Desmognathus imitator, Desmognathus imitator complex","Desmognathus imitator","Desmognathus imitator"
