strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
030701010804,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701010805,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701010901,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701010902,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701010903,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701010904,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701010905,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011301,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011302,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011303,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011304,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011305,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011306,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011401,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011402,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011403,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011404,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011405,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011406,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011407,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701011408,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
