number,sp.code,model,mem.nim,mem.sum,year.start,year.end,buffer,sp.auto,coarse.grid,covs.PO,covs.inat,covs.lin,covs.quad,check.covs,covs.int.factor,reference,covs.int.cont,Bpriordist,Bpriorvar1,Bpriorvar2,filter.region,spat.bal,coordunc,coordunc_na.rm,block.rows,block.cols,block.folds,iter,thin,region.sub,lon.hi,lon.lo,lat.hi,lat.lo,project
1,RACA,PNW,30000,40000,1994,2025,50000,T,F,traveltime,NA,"sqrtarea_small, sqrtarea_medium, footprint","TRI, tmin",F,NA,NA,NA,dnorm,0,1,T,T,1000,T,5,5,3,100000,5,F,NA,NA,NA,NA,0
2,PLSE,SE,30000,40000,1994,2025,50000,T,F,traveltime,n.inat,"N_all, prec, forest",elevation,F,NA,NA,NA,dnorm,0,1,T,T,1000,T,5,5,3,200000,5,F,NA,NA,NA,NA,0
3,EBIS,NE,30000,40000,1994,2025,50000,T,F,traveltime,n.inat,"streamLength.km, prec, forest",elevation,F,NA,NA,NA,dnorm,0,1,T,T,1000,T,5,5,3,40000,5,F,NA,NA,NA,NA,0
